Ward,Area,Land Area (SKM),Households,Population,Density per Square Kilometer,Ward,Pincode,Lat,Long,
A,Colaba,13,"43,661","2,10,847","16,868",A,400001,18.94959357,72.83815173,TRUE
B,Sanhurst Road,3,"27,225","1,40,633","56,253",B,400009,18.95702047,72.84200447,TRUE
C,Marine Lines,2,"39,657","2,02,922","1,12,734",C,400002,18.94638502,72.8252676,TRUE
D,Grant Road,7,"79,131","3,82,841","58,006",D,400007,18.9584585,72.81496344,TRUE
E,Byculla,7,"80,970","4,40,335","59,505",E,400008,18.96943916,72.82582256,TRUE
F South,Parel,14,"80,777","3,96,122","28,294",F South,400012,19.0008,72.83085,TRUE
F North,Matunga,13,"1,12,765","5,24,393","40,338",F North,400019,19.028744,72.8441474,TRUE
G South,Elphinstone,10,"92,525","4,57,931","45,793",G South,400018,19.0166742,72.8166592,TRUE
G North,Dadar/Plaza,9,"1,20,643","5,82,007","63,957",G North,400028,19.0562937,72.8430763,TRUE
H East,Khar/Santacruz,14,"1,14,423","5,80,835","43,025",H East,400051,19.0610225,72.847717,TRUE
H West,Bandra,12,"73,874","3,37,391","29,085",H West,400050,19.05524,72.830818,TRUE
K East,Andheri (East),25,"1,75,859","8,10,002","32,661",K East,400069,19.11810195,72.86016765,TRUE
K West,Andheri (West),23,"1,49,161","7,00,680","29,944",K West,400058,19.115059,72.84893545,TRUE
L,Kurla,16,"1,51,964","7,78,218","48,945",L,400070,19.08109075,72.87640255,TRUE
M East,Chembur East,33,"1,33,416","6,74,850","20,765",M East,400043,19.14278835,72.877626,TRUE
M West,Chembur West,20,"86,911","4,14,040","21,233",M West,400071,19.04412887,72.8988166,TRUE
N,Ghatkopar,26,"1,29,228","6,19,556","23,829",N,400077,19.0809876,72.8836623,TRUE
P South,Goregaon,24,"95,188","4,37,849","17,945",P South,400062,19.15511603,72.84636863,TRUE
P North,Malad,19,"1,71,009","7,96,775","41,716",P North,400064,19.1958408,72.82330518,TRUE
R South,Kandivalli,18,"1,28,995","5,89,886","33,140",R South,400067,19.20613995,72.84434775,TRUE
R Central,Borivali West,50,"1,17,294","5,13,077","10,262",R Central,400092,19.230101,72.866635,TRUE
R North,Dahiser,18,"83,433","3,63,827","20,213",R North,400068,19.3344948,72.8654778,TRUE
S,Bhandup,64,"1,48,731","6,91,227","10,800",S,400078,19.1373666,72.9442834,TRUE
T,Mulund,45,"73,540","3,30,195","7,273",T,400080,19.17521782,72.94867806,TRUE
